Customers[Customer Key],Customers[Customer Name],Customers[Birth Date],Customers[Marital Status],Customers[Gender],Customers[Yearly Income],Customers[Total Children],Customers[Number of Children at Home],Customers[Education],Customers[Occupation],Customers[House Owner],Customers[Number of Cars Owned],Customers[Customer Type],Customers[Company Name],Customers[Country],Customers[State]
"4433","Kumar, Alvin","18-08-1978 00:00:00","S","M","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"5020","Hernandez, Amber","02-02-1979 00:00:00","S","F","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"5337","Wright, Jonathan","08-06-1977 00:00:00","M","M","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"5357","Baker, Sophia","18-12-1975 00:00:00","M","F","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"5491","Robinson, Megan","17-05-1980 00:00:00","M","F","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"5504","Anderson, Christian","02-03-1975 00:00:00","M","M","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"5653","Richardson, Nicole","06-08-1973 00:00:00","M","F","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"6481","Gonzalez, Lucas","20-08-1978 00:00:00","S","M","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"6507","Simmons, Alexandria","19-04-1973 00:00:00","M","F","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"7449","Bailey, Jennifer","02-01-1978 00:00:00","M","F","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"7455","Perez, George","23-11-1977 00:00:00","S","M","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"7474","Rogers, Nathaniel","27-05-1975 00:00:00","M","M","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"7475","Smith, James","11-07-1975 00:00:00","M","M","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"7799","Allen, Andrea","13-06-1978 00:00:00","M","F","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"7893","Howard, Chase","16-11-1977 00:00:00","S","M","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"8672","Davis, Michael","02-07-1978 00:00:00","M","M","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"8757","Yuan, Nicolas","03-08-1977 00:00:00","S","M","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"8760","Barnes, Sydney","06-04-1976 00:00:00","M","F","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"8779","Jones, Isabella","16-08-1975 00:00:00","M","F","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"9412","James, Cole","05-06-1977 00:00:00","M","M","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"9414","Powell, Taylor","06-05-1976 00:00:00","M","F","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"9415","Bailey, Amanda","23-11-1976 00:00:00","M","F","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"9423","Brooks, Maria","17-08-1980 00:00:00","S","F","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"9436","Green, Natalie","26-11-1975 00:00:00","M","F","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"9439","Scott, Robert","22-12-1975 00:00:00","S","M","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"10283","Smith, Julia","10-03-1978 00:00:00","M","F","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"10369","Collins, Mason","26-09-1977 00:00:00","M","M","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"10399","Diaz, Ethan","25-03-1975 00:00:00","M","M","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"10400","Hughes, Ian","25-11-1975 00:00:00","M","M","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"11153","King, Marcus","18-02-1978 00:00:00","M","M","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"11163","Yuan, Brad","11-04-1977 00:00:00","M","M","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"11164","Scott, Morgan","01-07-1977 00:00:00","S","F","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"11185","Carter, Jeremy","27-07-1975 00:00:00","M","M","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"11186","Henderson, Connor","02-06-1975 00:00:00","M","M","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"12081","Barnes, Jocelyn","09-03-1978 00:00:00","S","F","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"12319","Morgan, Patrick","03-10-1978 00:00:00","S","M","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"12338","Green, Isaiah","07-11-1975 00:00:00","M","M","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"12339","Jenkins, Lucas","13-12-1973 00:00:00","M","M","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"13233","Johnson, Ryan","17-02-1979 00:00:00","S","M","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"13239","Richardson, Sean","07-09-1978 00:00:00","M","M","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"13240","Hernandez, Miguel","27-11-1978 00:00:00","M","M","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"13262","Jones, Emma","15-06-1977 00:00:00","S","F","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"13264","Brooks, Brooke","15-08-1977 00:00:00","M","F","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"13290","Gonzalez, Robert","16-12-1975 00:00:00","S","M","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"14917","Serrano, Naomi","13-07-1978 00:00:00","M","F","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"15547","Bennett, Miguel","26-06-1978 00:00:00","M","M","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"15558","Morgan, Katelyn","13-07-1976 00:00:00","S","F","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"15577","Robinson, Kaitlyn","10-01-1975 00:00:00","M","F","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"15578","Edwards, Cindy","02-02-1975 00:00:00","M","F","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"15579","White, Jeremy","25-10-1975 00:00:00","S","M","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"16468","Coleman, Jackson","16-03-1978 00:00:00","M","M","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"16479","Alvarez, Sheila","12-06-1977 00:00:00","M","F","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"17097","Stewart, Alexandra","19-11-1978 00:00:00","M","F","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"17098","Barnes, Jennifer","03-09-1978 00:00:00","S","F","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"17105","Williams, Hannah","21-08-1977 00:00:00","M","F","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"17107","Williams, Chloe","27-05-1977 00:00:00","M","F","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"17126","Jackson, Dalton","22-09-1975 00:00:00","M","M","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"17127","Johnson, Anna","12-01-1975 00:00:00","M","F","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"17128","Price, Fernando","18-06-1975 00:00:00","M","M","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"18057","Griffin, Angelica","05-03-1979 00:00:00","M","F","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"18060","Perry, Jocelyn","20-06-1978 00:00:00","S","F","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"18071","Simmons, Arianna","15-05-1978 00:00:00","S","F","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"18111","Smith, Sydney","11-04-1973 00:00:00","S","F","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"54","Price, Ana","20-08-1980 00:00:00","M","F","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"66","Henderson, Jessica","09-10-1973 00:00:00","M","F","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"940","Washington, Kevin","22-06-1977 00:00:00","S","M","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"2032","Shan, Hunter","16-02-1977 00:00:00","S","M","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"2034","Gonzalez, Xavier","20-11-1976 00:00:00","S","M","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"2993","Xie, Gregory","06-06-1978 00:00:00","S","M","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"3018","Rodriguez, Chloe","22-11-1980 00:00:00","S","F","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"3025","Moore, Hannah","23-12-1975 00:00:00","S","F","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"3271","Ross, James","25-01-1975 00:00:00","S","M","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"3274","Parker, Angel","05-05-1973 00:00:00","S","M","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"3853","Gonzalez, Adam","13-11-1978 00:00:00","S","M","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"4006","Cooper, Adrian","20-09-1978 00:00:00","S","M","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"4014","Campbell, Julia","13-11-1976 00:00:00","S","F","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"4434","Sharma, Adam","18-08-1978 00:00:00","S","M","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"5338","White, Jose","06-07-1977 00:00:00","M","M","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"5921","Stewart, Eduardo","17-01-1979 00:00:00","M","M","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"5925","Price, Julia","05-11-1978 00:00:00","S","F","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"5926","Patterson, Spencer","21-07-1978 00:00:00","S","M","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"6490","Evans, Jack","21-11-1977 00:00:00","S","M","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"6491","Moore, Grace","08-09-1977 00:00:00","S","F","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"7362","Simmons, Marcus","26-12-1979 00:00:00","S","M","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"7367","Richardson, Alexandria","25-05-1978 00:00:00","M","F","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"7456","Wu, Alejandro","25-09-1977 00:00:00","M","M","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"7457","Bailey, Timothy","05-09-1977 00:00:00","S","M","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"7478","Hughes, Angelica","10-08-1973 00:00:00","S","F","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"7894","White, Devin","15-06-1977 00:00:00","S","M","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"7921","Young, Jonathan","19-05-1973 00:00:00","S","M","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"8671","Gutierrez, Erik","16-03-1978 00:00:00","S","M","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"8759","Wright, Alex","25-12-1976 00:00:00","S","M","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"8761","Russell, Sydney","02-05-1976 00:00:00","S","F","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"8778","Thomas, Jonathan","19-05-1975 00:00:00","M","M","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"9435","Sharma, Nathan","13-10-1975 00:00:00","S","M","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"9437","Barnes, Anna","26-04-1975 00:00:00","S","F","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"9438","Howard, Gabriella","12-10-1975 00:00:00","S","F","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"9440","Rogers, Chloe","04-04-1973 00:00:00","M","F","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"9441","Hughes, Alexandra","26-05-1973 00:00:00","S","F","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"10282","Hill, Andrea","27-02-1978 00:00:00","S","F","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"11062","Goel, Jenny","20-09-1978 00:00:00","S","F","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"11063","Flores, Cameron","28-04-1978 00:00:00","S","M","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"11166","Perez, Aaron","01-11-1976 00:00:00","M","M","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"11187","Foster, Jonathan","04-10-1975 00:00:00","S","M","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"12092","Peterson, Richard","06-02-1977 00:00:00","S","M","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"12111","Gonzalez, Mackenzie","26-09-1975 00:00:00","S","F","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"12112","Wright, Sara","17-01-1975 00:00:00","S","F","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"13263","Thomas, Daniel","16-03-1977 00:00:00","M","M","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"13296","Barnes, Natalie","26-03-1973 00:00:00","S","F","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"14009","Perry, Haley","20-05-1978 00:00:00","S","F","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"14015","Reed, Juan","16-08-1978 00:00:00","S","M","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"14045","Bailey, Emma","10-08-1975 00:00:00","S","F","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"14918","Long, Kyle","25-03-1978 00:00:00","M","M","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"14934","Stewart, Dalton","05-06-1977 00:00:00","S","M","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"14943","Brooks, Brianna","17-01-1980 00:00:00","S","F","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"14955","Carter, Noah","10-08-1975 00:00:00","M","M","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"14956","Robinson, Anna","16-05-1975 00:00:00","S","F","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"15546","Ross, Taylor","08-01-1978 00:00:00","M","F","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"15555","Garcia, Michael","16-05-1977 00:00:00","S","M","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"16469","Powell, Robert","12-10-1978 00:00:00","M","M","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"16480","Sanders, Kaitlyn","11-03-1977 00:00:00","S","F","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"16509","Edwards, James","10-02-1973 00:00:00","S","M","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"17106","Garcia, Hannah","23-11-1977 00:00:00","M","F","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"18059","Reed, Olivia","03-01-1978 00:00:00","S","F","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"18061","Washington, David","01-04-1978 00:00:00","S","M","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"18077","Miller, Megan","04-03-1977 00:00:00","S","F","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"18080","Rogers, Brian","07-06-1976 00:00:00","M","M","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"18109","Evans, Seth","22-06-1975 00:00:00","S","M","60000","0","0","Partial College","Skilled Manual","0","2","Person","","United States","California"
"963","Roberts, Alexandra","28-11-1976 00:00:00","S","F","60000","0","0","Partial College","Professional","0","2","Person","","United States","California"
"975","Sun, Randy","07-02-1974 00:00:00","S","M","60000","0","0","Partial College","Professional","0","2","Person","","United States","California"
"2074","Lopez, Sydney","12-01-1976 00:00:00","M","F","60000","0","0","Partial College","Professional","1","2","Person","","United States","California"
"2075","Hughes, Grace","12-09-1976 00:00:00","M","F","60000","0","0","Partial College","Professional","1","2","Person","","United States","California"
"3038","Sara, Lydia","22-04-1974 00:00:00","M","F","60000","0","0","Partial College","Professional","1","2","Person","","United States","California"
"3286","Hughes, Taylor","04-12-1974 00:00:00","S","F","60000","0","0","Partial College","Professional","0","2","Person","","United States","California"
"4191","Watson, Katherine","19-08-1974 00:00:00","S","F","60000","0","0","Partial College","Professional","0","2","Person","","United States","California"
"5656","Taylor, Destiny","26-03-1976 00:00:00","M","F","60000","0","0","Partial College","Professional","1","2","Person","","United States","California"
"5674","Guo, Curtis","08-05-1974 00:00:00","S","M","60000","0","0","Partial College","Professional","0","2","Person","","United States","California"
"6508","Robinson, Alexis","15-08-1973 00:00:00","M","F","60000","0","0","Partial College","Professional","1","2","Person","","United States","California"
"6521","Baker, Marcus","03-09-1974 00:00:00","S","M","60000","0","0","Partial College","Professional","1","2","Person","","United States","California"
"8806","Butler, Mariah","06-08-1974 00:00:00","S","F","60000","0","0","Partial College","Professional","0","2","Person","","United States","California"
"8807","Perez, Nancy","22-02-1974 00:00:00","S","F","60000","0","0","Partial College","Professional","1","2","Person","","United States","California"
"9444","Cox, Adrian","08-04-1976 00:00:00","S","M","60000","0","0","Partial College","Professional","0","2","Person","","United States","California"
"9450","Walker, Rachel","07-04-1976 00:00:00","S","F","60000","0","0","Partial College","Professional","0","2","Person","","United States","California"
"9459","Subram, Erick","14-11-1974 00:00:00","M","M","60000","0","0","Partial College","Professional","1","2","Person","","United States","California"
"10417","Butler, Ryan","18-04-1974 00:00:00","S","M","60000","0","0","Partial College","Professional","0","2","Person","","United States","California"
"10418","Torres, Gabrielle","04-07-1974 00:00:00","S","F","60000","0","0","Partial College","Professional","0","2","Person","","United States","California"
"11191","Richardson, Carlos","18-02-1976 00:00:00","S","M","60000","0","0","Partial College","Professional","0","2","Person","","United States","California"
"12116","Nicholls, Stephanie","17-07-1976 00:00:00","S","F","60000","0","0","Partial College","Professional","1","2","Person","","United States","California"
"12127","Van, Carolyn","07-06-1974 00:00:00","M","F","60000","0","0","Partial College","Professional","0","2","Person","","United States","California"
"12355","Gomez, Eddie","22-07-1974 00:00:00","S","M","60000","0","0","Partial College","Professional","1","2","Person","","United States","California"
"12356","Serrano, Lance","18-07-1974 00:00:00","S","M","60000","0","0","Partial College","Professional","0","2","Person","","United States","California"
"12357","Ward, Grace","10-09-1974 00:00:00","S","F","60000","0","0","Partial College","Professional","0","2","Person","","United States","California"
"12358","Yang, Micah","05-05-1974 00:00:00","S","M","60000","0","0","Partial College","Professional","1","2","Person","","United States","California"
"13298","Cox, Victoria","09-10-1976 00:00:00","M","F","60000","0","0","Partial College","Professional","1","2","Person","","United States","California"
"13299","Yang, Robert","07-10-1976 00:00:00","M","M","60000","0","0","Partial College","Professional","1","2","Person","","United States","California"
"13300","Gray, Andrea","03-06-1976 00:00:00","S","F","60000","0","0","Partial College","Professional","1","2","Person","","United States","California"
"14048","Long, Trevor","10-11-1973 00:00:00","M","M","60000","0","0","Partial College","Professional","1","2","Person","","United States","California"
"14958","Washington, Stephanie","10-07-1976 00:00:00","M","F","60000","0","0","Partial College","Professional","0","2","Person","","United States","California"
"14960","Hall, Katherine","10-11-1976 00:00:00","S","F","60000","0","0","Partial College","Professional","0","2","Person","","United States","California"
"15584","Patterson, James","13-08-1976 00:00:00","S","M","60000","0","0","Partial College","Professional","0","2","Person","","United States","California"
"16511","Bailey, Cole","03-10-1976 00:00:00","S","M","60000","0","0","Partial College","Professional","0","2","Person","","United States","California"
"16527","Ma, Ramon","10-12-1974 00:00:00","M","M","60000","0","0","Partial College","Professional","1","2","Person","","United States","California"
"17146","Jones, Brandon","11-11-1974 00:00:00","S","M","60000","0","0","Partial College","Professional","0","2","Person","","United States","California"
"18113","Powell, Edward","24-06-1976 00:00:00","S","M","60000","0","0","Partial College","Professional","0","2","Person","","United States","California"
"18127","Cox, Chloe","26-09-1974 00:00:00","S","F","60000","0","0","Partial College","Professional","0","2","Person","","United States","California"
"976","Garcia, Destiny","04-10-1974 00:00:00","S","F","60000","0","0","High School","Professional","0","2","Person","","United States","California"
"4192","Kumar, Andres","19-08-1974 00:00:00","S","M","60000","0","0","High School","Professional","0","2","Person","","United States","California"
"6522","Jenkins, Destiny","24-06-1974 00:00:00","M","F","60000","0","0","High School","Professional","0","2","Person","","United States","California"
"7503","Madan, Pamela","04-10-1974 00:00:00","M","F","60000","0","0","High School","Professional","1","2","Person","","United States","California"
"9460","Barnes, Maria","07-10-1974 00:00:00","M","F","60000","0","0","High School","Professional","1","2","Person","","United States","California"
"12128","Hughes, Haley","09-09-1974 00:00:00","M","F","60000","0","0","High School","Professional","0","2","Person","","United States","California"
"12359","Alvarez, Alberto","11-04-1974 00:00:00","M","M","60000","0","0","High School","Professional","1","2","Person","","United States","California"
"1192","Washington, Melissa","10-04-1954 00:00:00","M","F","60000","2","0","Partial High School","Skilled Manual","1","2","Person","","United States","California"
"2476","Allen, Charles","05-05-1954 00:00:00","M","M","60000","2","0","Partial High School","Skilled Manual","1","2","Person","","United States","California"
"2477","Hall, Timothy","21-08-1954 00:00:00","M","M","60000","2","0","Partial High School","Skilled Manual","0","2","Person","","United States","California"
"3488","Hall, Seth","06-10-1954 00:00:00","M","M","60000","2","0","Partial High School","Skilled Manual","1","2","Person","","United States","California"
"4401","Roberts, Samuel","19-09-1954 00:00:00","M","M","60000","2","0","Partial High School","Skilled Manual","0","2","Person","","United States","California"
"4402","Hughes, Rachel","16-08-1954 00:00:00","S","F","60000","2","0","Partial High School","Skilled Manual","1","2","Person","","United States","California"
"4404","Ross, Jeremiah","06-09-1954 00:00:00","M","M","60000","2","0","Partial High School","Skilled Manual","0","2","Person","","United States","California"
"4987","Sanchez, Dalton","11-09-1954 00:00:00","S","M","60000","2","0","Partial High School","Skilled Manual","1","2","Person","","United States","California"
"5888","Rivera, Cody","11-08-1954 00:00:00","M","M","60000","2","0","Partial High School","Skilled Manual","1","2","Person","","United States","California"
"7857","Green, Thomas","15-03-1954 00:00:00","M","M","60000","2","0","Partial High School","Skilled Manual","0","2","Person","","United States","California"
"7859","Parker, Miguel","05-05-1954 00:00:00","S","M","60000","2","0","Partial High School","Skilled Manual","1","2","Person","","United States","California"
"9372","Bryant, Grace","17-02-1954 00:00:00","M","F","60000","2","0","Partial High School","Skilled Manual","1","2","Person","","United States","California"
"9375","Adams, Fernando","15-06-1954 00:00:00","M","M","60000","2","0","Partial High School","Skilled Manual","0","2","Person","","United States","California"
"10330","Brown, Wyatt","02-01-1954 00:00:00","M","M","60000","2","0","Partial High School","Skilled Manual","1","2","Person","","United States","California"
"10331","Clark, Isabella","04-10-1954 00:00:00","S","F","60000","2","0","Partial High School","Skilled Manual","1","2","Person","","United States","California"
"11112","King, Gabriella","10-11-1954 00:00:00","M","F","60000","2","0","Partial High School","Skilled Manual","0","2","Person","","United States","California"
"13433","Reed, Dalton","13-06-1954 00:00:00","M","M","60000","2","0","Partial High School","Skilled Manual","1","2","Person","","United States","California"
"14199","Ramirez, Michelle","09-05-1954 00:00:00","M","F","60000","2","0","Partial High School","Skilled Manual","1","2","Person","","United States","California"
"17294","Cox, Shelby","15-02-1954 00:00:00","S","F","60000","2","0","Partial High School","Skilled Manual","0","2","Person","","United States","California"
"17295","Jenkins, Alexis","04-08-1954 00:00:00","S","F","60000","2","0","Partial High School","Skilled Manual","1","2","Person","","United States","California"
"86","Johnson, Emily","19-07-1957 00:00:00","S","F","60000","2","0","High School","Professional","0","2","Person","","United States","California"
"981","Richardson, Kimberly","18-12-1957 00:00:00","S","F","60000","2","0","High School","Professional","0","2","Person","","United States","California"
"983","Foster, Alexandra","04-04-1957 00:00:00","S","F","60000","2","0","High School","Professional","1","2","Person","","United States","California"
"1176","Powell, Luke","13-09-1955 00:00:00","S","M","60000","2","0","High School","Professional","0","2","Person","","United States","California"
"2095","Diaz, Antonio","23-03-1957 00:00:00","M","M","60000","2","0","High School","Professional","0","2","Person","","United States","California"
"2098","Hughes, Dalton","14-05-1957 00:00:00","M","M","60000","2","0","High School","Professional","0","2","Person","","United States","California"
"2303","Torres, Cole","18-08-1955 00:00:00","S","M","60000","2","0","High School","Professional","1","2","Person","","United States","California"
"2318","Long, Jeremiah","09-09-1954 00:00:00","S","M","60000","2","0","High School","Professional","1","2","Person","","United States","California"
"2460","Foster, Devin","17-07-1955 00:00:00","M","M","60000","2","0","High School","Professional","0","2","Person","","United States","California"
"3294","Campbell, Kyle","15-02-1957 00:00:00","M","M","60000","2","0","High School","Professional","0","2","Person","","United States","California"
